EntryID,Code,SignType 2.0,MajorLocation 2.0,MinorLocation 2.0,SecondMinorLocation,Movement 2.0,Contact,SelectedFingers 2.0,Flexion 2.0,FlexionChange,Spread,SpreadChange,NonDominantHandshape,SignTypeSecondMorpheme,MajorLocationSecondMorpheme,MinorLocationSecondMorpheme,SecondMinorLocationSecondMorpheme,MovementSecondMorpheme,ContactSecondMorpheme,SelectedFingersSecondMorpheme,FlexionSecondMorpheme,FlexionChangeSecondMorpheme,SpreadSecondMorpheme,SpreadChangeSecondMorpheme,HandshapeSecondMorpheme,NonDominantHandshapeSecondMorpheme,SignTypeThirdMorpheme,MajorLocationThirdMorpheme,ContactThirdMorpheme,MinorLocationThirdMorpheme,SecondMinorLocationThirdMorpheme,MovementThirdMorpheme,SelectedFingersThirdMorpheme,FlexionThirdMorpheme,FlexionChangeThirdMorpheme,SpreadThirdMorpheme,SpreadChangeThirdMorpheme,HandshapeThirdMorpheme,NonDominantHandshapeThirdMorpheme,SignTypeFourthMorpheme,MajorLocationFourthMorpheme,MinorLocationFourthMorpheme,SecondMinorLocationFourthMorpheme,MovementFourthMorpheme,ContactFourthMorpheme,SelectedFingersFourthMorpheme,FlexionFourthMorpheme,FlexionChangeFourthMorpheme,SpreadFourthMorpheme,SpreadChangeFourthMorpheme,HandshapeFourthMorpheme,NonDominantHandshapeFourthMorpheme,SignTypeFifthMorpheme,MajorLocationFifthMorpheme ,MinorLocationFifthMorpheme,SecondMinorLocationFifthMorpheme,MovementFifthMorpheme,ContactFifthMorpheme,SelectedFingersFifthMorpheme,FlexionFifthMorpheme,FlexionChangeFifthMorpheme,SpreadFifthMorpheme,SpreadChangeFifthMorpheme,HandshapeFifthMorpheme,NonDominantHandshapeFifthMorpheme,SignTypeSixthMorpheme,MajorLocationSixthMorpheme,MinorLocationSixthMorpheme,SecondMinorLocationSixthMorpheme,MovementSixthMorpheme,ContactSixthMorpheme,SelectedFingersSixthMorpheme,FlexionSixthMorpheme,FlexionChangeSixthMorpheme,SpreadSixthMorpheme,SpreadChangeSixthMorpheme,HandshapeSixthMorpheme,ThumbPositionSecondMorpheme,ThumbContactSecondMorpheme,ThumbPositionThirdMorpheme,ThumbContactThirdMorpheme,UlnarRotation,ThumbPositionFourthMorpheme,ThumbPositionFifthMorpheme,ThumbPositionSixthMorpheme,ThumbContactFourthMorpheme,ThumbContactFifthMorpheme,ThumbContactSixthMorpheme,UlnarRotationSecondMorpheme,UlnarRotationThirdMorpheme,Handshape
language,A_01_067,SymmetricalOrAlternating,Neutral,NeutralNeutral,NeutralNeutral,Straight,1,i,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,1
lamp,D_03_037,OneHanded,Neutral,NeutralNeutral,N/A,None,0,imrp,5,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,c
know,C_01_048,OneHanded,Head,ForeheadHead,N/A,Straight,1,imrp,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,b
knitting,D_03_071,SymmetricalOrAlternating,Neutral,NeutralNeutral,N/A,None,1,i,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,Yes,,,,,,,,,1
knife,B_02_011,AsymmetricalSameHandshape,Hand,FingerRadialHand,HoverHand,Curved,1,i,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,1
kitchen,A_02_016,AsymmetricalDifferentHandshape,Hand,PalmHand,PalmHand,Curved,1,im,Stacked,0,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,Yes,,,,,,,,,k
kiss,D_02_014,OneHanded,Head,ChinHead,CheekNoseHead,Curved,1,imrp,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,flat b
kill,D_01_013,AsymmetricalDifferentHandshape,Hand,PalmHand,HoverHand,Straight,1,i,4,0,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,flat 1
kid,C_03_057,OneHanded,Head,UpperLipHead,N/A,None,1,ip,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,ily
keyboard,B_03_070,SymmetricalOrAlternating,Neutral,NeutralNeutral,N/A,None,0,imrp,5,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,curved 5
key,B_02_033,AsymmetricalDifferentHandshape,Hand,HeelHand,N/A,None,1,i,2,0,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,Yes,,,,,,,,,bent 1
kangaroo,D_03_079,SymmetricalOrAlternating,Neutral,NeutralNeutral,NeutralNeutral,Straight,0,imrp,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,flat b
jump,C_02_089,AsymmetricalDifferentHandshape,Hand,PalmHand,HoverHand,BackAndForth,1,im,1,1,1,0,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,v
juggle,D_01_037,SymmetricalOrAlternating,Neutral,NeutralNeutral,NeutralNeutral,Circular,0,imrp,7,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,s
judge,B_01_058,SymmetricalOrAlternating,Neutral,NeutralNeutral,NeutralNeutral,Straight,0,i,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,f
jigsaw_puzzle,C_02_084,SymmetricalOrAlternating,Neutral,NeutralNeutral,NeutralNeutral,Straight,0,t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,a
